"seq","type","pay_type","role","date","clinicId","ok","status","jobId","error"
"15","multiday","percentage_of_revenue","dental_hygienist","2026-04-26..2026-04-30","03215fde-7131-413a-bcf6-a562ec642692","True","200","1f8bdf38-0400-40b5-884d-ea1a6d5b0305",
"16","temporary","per_hour","billing_coordinator","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","3fb2953f-bde8-437e-8089-3dad7a3f1917",
"17","multiday","per_hour","dental_hygienist","2026-04-28..2026-05-04","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","4822b8fb-9104-4014-a81f-94edd59c94dc",
"18","permanent",,"insurance_verification","2026-05-15","03215fde-7131-413a-bcf6-a562ec642692","True","200","463f7af9-d994-42eb-b975-391f9814abc1",
"19","multiday","per_hour","associate_dentist","2026-05-23..2026-05-29","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","4506d9ff-3124-4a91-9a0f-ca3226d6372b",
"20","multiday","per_hour","dental_assistant","2026-04-30..2026-05-05","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","2bd5a086-32b9-4cf5-9d83-86505ca390db",
"21","temporary","percentage_of_revenue","dental_hygienist","2026-05-18","03215fde-7131-413a-bcf6-a562ec642692","True","200","54bf246f-16da-48e6-96b1-ccc43f8edec7",
"22","permanent",,"dental_hygienist","2026-05-28","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","66351432-a91d-4a72-8333-84ad20cb4c4f",
"23","multiday","per_hour","associate_dentist","2026-05-18..2026-05-24","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","7c067513-8c48-4fe5-ad80-782dbbe7416c",
"24","temporary","percentage_of_revenue","associate_dentist","2026-05-20","03215fde-7131-413a-bcf6-a562ec642692","True","200","95ff773c-6e24-4a60-b3d4-bb31a118faa9",
"25","multiday","percentage_of_revenue","dental_assistant","2026-04-30..2026-05-04","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","58902225-3676-499c-b8c3-8fb031f5af80",
"26","permanent",,"dentist","2026-05-16","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b05424af-744a-4871-bca3-495ec108b7ee",
"27","temporary","per_hour","treatment_coordinator_front","2026-05-30","03215fde-7131-413a-bcf6-a562ec642692","True","200","0d79edc7-de3f-42cb-b8fd-907113c8f02e",
"28","permanent",,"insurance_verification","2026-05-12","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","08d824a7-4448-4e6d-89bc-6442f30fcfa0",
"29","multiday","per_transaction","dental_hygienist","2026-04-25..2026-04-27","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","5eb46009-418e-4bf1-b71c-1c300c77a9d8",
"30","multiday","per_hour","insurance_verification","2026-05-17..2026-05-21","03215fde-7131-413a-bcf6-a562ec642692","True","200","04a20ed4-fab8-4c91-8a11-aaa5437985eb",
"31","temporary","per_transaction","dental_assistant","2026-05-22","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","b3ae1ee0-abab-4ec7-86e4-31c477a2818f",
"32","permanent",,"patient_coordinator_front","2026-05-21","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","88cee730-9104-4707-9b50-e0e18e1a4da2",
"33","permanent",,"treatment_coordinator_front","2026-05-08","03215fde-7131-413a-bcf6-a562ec642692","True","200","4331a91c-2ca8-47af-b188-4e41d5e7052f",
"34","permanent",,"treatment_coordinator_front","2026-05-23","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","79db8b29-aca2-4051-b100-cb3821980c35",
"35","multiday","per_transaction","billing_coordinator","2026-04-27..2026-05-06","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","6eef6b08-1399-47c1-813f-eb127dbf1156",
"36","temporary","per_transaction","dental_assistant","2026-04-29","03215fde-7131-413a-bcf6-a562ec642692","True","200","1879f46e-3991-4522-9df5-2b6d6510642e",
"37","permanent",,"treatment_coordinator_front","2026-05-13","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","027294f8-503f-4439-a819-90d15bea053d",
"38","temporary","per_transaction","treatment_coordinator_front","2026-04-24","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","7f320c59-4e10-4394-a947-9b8adf04ac0e",
"39","temporary","per_transaction","patient_coordinator_front","2026-04-30","03215fde-7131-413a-bcf6-a562ec642692","True","200","c5254eb3-3513-45d4-9217-62bce5d12430",
"40","temporary","per_hour","billing_coordinator","2026-05-09","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","c386e264-1d4e-4e1b-88cb-0d09de45b546",
"41","temporary","per_transaction","billing_coordinator","2026-05-13","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","c853d1d5-110c-460a-912c-d110e85ba1cf",
"42","permanent",,"treatment_coordinator_front","2026-05-22","03215fde-7131-413a-bcf6-a562ec642692","True","200","d981d431-aaf2-4e8d-9d7d-57b0dc179302",
"43","temporary","per_transaction","insurance_verification","2026-04-27","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","9d868c6c-6786-4571-8b73-10c8f55bf6d9",
"44","multiday","per_hour","associate_dentist","2026-05-26..2026-05-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","ed2dfbac-5e71-42d8-a272-0ada150b91a5",
"45","temporary","per_hour","dental_assistant","2026-05-16","03215fde-7131-413a-bcf6-a562ec642692","True","200","15c6ba7a-34a5-4d0e-93d5-d318ca02bee2",
"46","permanent",,"insurance_verification","2026-05-03","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","6ca45d9c-f492-41f3-96f2-aff241f3d55b",
"47","temporary","per_hour","patient_coordinator_front","2026-04-25","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b1725bba-775c-407f-8bc8-e018affe0b97",
"48","permanent",,"billing_coordinator","2026-05-08","03215fde-7131-413a-bcf6-a562ec642692","True","200","a0fb0671-cd1d-4aad-ba3d-c2aebe2f78f6",
"49","permanent",,"insurance_verification","2026-05-30","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7497b592-5d6b-4ed3-84ac-e50276f87de3",
"50","multiday","per_transaction","insurance_verification","2026-05-22..2026-05-28","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b912e159-0b83-405a-a47b-37af951a68fc",
"51","permanent",,"associate_dentist","2026-05-10","03215fde-7131-413a-bcf6-a562ec642692","True","200","388db39f-5a8b-433c-b75e-e6fb5c01225b",
"52","multiday","percentage_of_revenue","patient_coordinator_front","2026-05-09..2026-05-11","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","b0c5a8cb-a0cb-444d-83cc-84c09bd7935e",
"53","permanent",,"dental_hygienist","2026-05-13","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","8e7c8af7-3f02-4377-944c-7999519294f7",
"54","multiday","percentage_of_revenue","treatment_coordinator_front","2026-05-20..2026-05-21","03215fde-7131-413a-bcf6-a562ec642692","True","200","d116ed45-271a-4278-9cd8-6bd48d9bb843",
"55","temporary","percentage_of_revenue","treatment_coordinator_front","2026-05-12","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","a5fb3ae2-885f-42f4-bdcd-31f70441b6af",
"56","multiday","per_hour","dentist","2026-05-02..2026-05-11","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b5061a5e-befc-436a-8a1c-d6cbf21faa7b",
"57","multiday","percentage_of_revenue","dental_hygienist","2026-05-22..2026-05-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","067b93d5-4f3a-41f5-9746-c8865ff7e5e5",
"58","permanent",,"dentist","2026-05-22","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","6b31e7f6-b8b7-445f-b9d4-24cb29eb3383",
"59","temporary","per_hour","dentist","2026-04-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","9bf31668-e6fb-429b-96a6-399337f36fed",
"60","temporary","per_hour","treatment_coordinator_front","2026-04-25","03215fde-7131-413a-bcf6-a562ec642692","True","200","bbdcba52-66f2-4c9b-a88e-40fcfee5d09c",
"61","multiday","percentage_of_revenue","associate_dentist","2026-04-28..2026-05-07","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","5a83458b-e9b3-44b8-b97e-fca304d2dae4",
"62","multiday","percentage_of_revenue","dental_assistant","2026-04-27..2026-05-06","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","c47b115a-4ba4-49cb-855a-ac0ce374797a",
"63","temporary","per_transaction","treatment_coordinator_front","2026-04-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","902ffb4d-a480-405b-bc6f-5e2ff85a3bd1",
"64","temporary","per_hour","patient_coordinator_front","2026-05-01","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","af6e9280-d930-481c-856a-6a5a86cdc19f",
"65","permanent",,"patient_coordinator_front","2026-05-17","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e9c4dcb4-5df0-4d29-8b44-6139e0f4bc23",
"66","permanent",,"associate_dentist","2026-05-14","03215fde-7131-413a-bcf6-a562ec642692","True","200","7b94e9bb-0f3b-41b1-a0f3-faae2bdd041f",
"67","multiday","per_hour","dental_hygienist","2026-05-07..2026-05-16","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","b45827b9-ec69-4eb6-8d58-f4d0129173ac",
"68","temporary","percentage_of_revenue","associate_dentist","2026-04-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","6083b161-93b5-438b-8926-b12bc1eb2ffb",
"69","temporary","percentage_of_revenue","dental_hygienist","2026-04-30","03215fde-7131-413a-bcf6-a562ec642692","True","200","f1ff3dc2-613c-416b-b1cf-53d5e26e385a",
"70","temporary","per_transaction","dental_hygienist","2026-04-23","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","998ce94f-232e-464d-8cec-d17db82b012c",
"71","temporary","per_hour","treatment_coordinator_front","2026-05-14","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","7b25aa7d-d27f-4104-a56a-c73d235b5bb2",
"72","multiday","percentage_of_revenue","treatment_coordinator_front","2026-04-25..2026-04-29","03215fde-7131-413a-bcf6-a562ec642692","True","200","f0c02f6a-4271-4430-a728-e72cc7cb82c7",
"73","temporary","per_hour","insurance_verification","2026-05-25","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","cbd64ff4-be4d-4a40-bdda-c86daf5f8475",
"74","multiday","per_transaction","billing_coordinator","2026-05-21..2026-05-22","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","874de33b-80e9-4b9c-a3ef-e6b5e0677b3c",
"75","multiday","per_transaction","billing_coordinator","2026-05-25..2026-05-27","03215fde-7131-413a-bcf6-a562ec642692","True","200","6889a917-c826-40a1-9004-c54c7b07fcdd",
"76","multiday","per_transaction","patient_coordinator_front","2026-04-28..2026-04-30","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","1cd79452-01ef-42f6-8b26-269461cfa5a3",
"77","temporary","percentage_of_revenue","treatment_coordinator_front","2026-05-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","9b938534-625e-4b84-8c5b-3b1856efc696",
"78","temporary","percentage_of_revenue","insurance_verification","2026-04-24","03215fde-7131-413a-bcf6-a562ec642692","True","200","db0d38c2-4061-4e7a-a95c-3a44e0e942a1",
"79","permanent",,"associate_dentist","2026-05-09","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","8172e82a-fe13-4caa-8926-28e77a6d749e",
"80","multiday","percentage_of_revenue","dental_hygienist","2026-05-21..2026-05-30","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","f3fb9e86-9bab-4b06-8bc8-0ae220266a8a",
"81","multiday","percentage_of_revenue","dental_assistant","2026-05-01..2026-05-06","03215fde-7131-413a-bcf6-a562ec642692","True","200","9c593539-b734-4d91-8c50-b13f6859a06a",
"82","permanent",,"dental_assistant","2026-05-06","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","cf159fdb-b653-46c2-b92c-392eb677927e",
"83","permanent",,"insurance_verification","2026-05-21","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","743e4f11-ae25-4c66-8298-594e6cbd00a9",
"84","multiday","per_hour","billing_coordinator","2026-05-06..2026-05-11","03215fde-7131-413a-bcf6-a562ec642692","True","200","430399a6-d21a-47ed-a870-98e77ee366c4",
"85","multiday","percentage_of_revenue","dental_assistant","2026-05-15..2026-05-19","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","83fe7d92-a822-4b33-b0f6-0e3e3cc4aa8d",
"86","permanent",,"insurance_verification","2026-05-12","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","9d431a2b-25c1-4e63-8e54-5e5953c6ee9d",
"87","permanent",,"insurance_verification","2026-05-20","03215fde-7131-413a-bcf6-a562ec642692","True","200","cc74cfa7-00a1-49e9-ae3c-e3dfbe41cbf2",
"88","permanent",,"billing_coordinator","2026-05-22","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7d4c6879-c494-4f16-814c-f2d6d975bead",
"89","temporary","percentage_of_revenue","associate_dentist","2026-05-04","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","f5e96bf1-f8c1-479b-983b-f122f62bba2c",
"90","permanent",,"dentist","2026-05-03","03215fde-7131-413a-bcf6-a562ec642692","True","200","d705bbb6-9884-4741-9708-4f819a5403cc",
"91","multiday","per_transaction","dental_assistant","2026-05-17..2026-05-26","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","c1e10c8e-4b7c-4ce3-b7cd-407b6d2bb296",
"92","temporary","percentage_of_revenue","insurance_verification","2026-05-13","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","b8e8ad3c-21be-42d0-9e58-48db4f2acee2",
"93","permanent",,"dental_assistant","2026-05-30","03215fde-7131-413a-bcf6-a562ec642692","True","200","96cbf037-6842-4be1-848b-a875d3cddfc4",
"94","multiday","percentage_of_revenue","associate_dentist","2026-05-25..2026-05-29","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","7c97937d-c999-449e-a6b1-cf783e6c782a",
"95","temporary","per_hour","dental_assistant","2026-05-04","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","848a8efc-65b5-4f13-81d1-e622eb911263",
"96","permanent",,"associate_dentist","2026-05-21","03215fde-7131-413a-bcf6-a562ec642692","True","200","1bb15ca7-ec2f-4946-a10e-cf322a04bab9",
"97","temporary","per_transaction","dental_assistant","2026-05-23","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","f2ddb3d3-3346-48ed-bd7b-b15e1891aef1",
"98","temporary","per_transaction","billing_coordinator","2026-05-06","0012ff0b-392a-4cac-b471-56229db0dfbb","True","200","e6969d66-0b60-49f9-b8af-cc0bc94ad0a5",
"99","multiday","percentage_of_revenue","billing_coordinator","2026-05-16..2026-05-20","03215fde-7131-413a-bcf6-a562ec642692","True","200","71b4533f-6127-453d-a3ab-0b72ed4852d1",
"100","temporary","per_hour","billing_coordinator","2026-05-31","b4a4c179-7fe3-43a9-bdf5-f88e5c8d1a57","True","200","ee879250-8eb7-4a05-b51c-9b15fbfba9e0",
